,lat,lon,addr
1,45.513840,-73.572830,3600 boul. Saint-Laurent
2,45.509970,-73.575150,3550 Avenue du Parc
3,45.518790,-73.583950,4320 St-Laurent
4,45.522500,-73.592420,5036 St-Laurent
5,45.52436,-73.6005,115 St-Viateur Ouest
6,45.52449,-73.60462,226 Bernard Ouest
7,45.52329,-73.60538,5742 Avenue du Parc
8,45.52297,-73.60435,5678 Avenue du Parc
9,45.52101,-73.599,5261 Avenue du Parc
10,45.50101,-73.62719,5774 Decelles
11,45.49808,-73.62666,5620 Côte-des-neiges
12,45.49824,-73.62579,5605 Côte-des-neiges
13,45.49701,-73.62417,5480 Côte-des-Neiges
14,45.49709,-73.62222,5354 Gatineau
15,45.49866,-73.61871,3200 Jean-Brillant
16,45.510622,-73.6133,91 Vincent d’Indy
